player,new_gp,reason
Lauri Markkanen,55,"Chronic-pattern over-projection: 55/47/42 GP the last three seasons (mean 48; mean+8 = 56), four straight declining years, no 70-game season in his career, and 2025-26 ended Feb 23 with a right hip im"
Kyrie Irving,55,"Played 0 games in 2025-26 after March 2025 ACL reconstruction; last two active seasons were 58 and 50 GP, so 60 exceeded his healthy base in his first year back at age 34. July status is a 'close to b"
Jakob Poeltl,55,"Three-season GP base is 50/57/46 (mean 51, verified via StatMuse); 60 exceeded mean+8 despite a lingering lower-back issue that cost 24 games in 2025-26 with a minutes-restricted return, plus Collin M"
Trae Young,55,"TSV is stale: the dossier projection card was already corrected from 62 to 55 on 2026-07-18 (15-game 2025-26 season across ATL/WAS, conservatively treated quad/back problems with no surgical anchor da"
Herb Jones,68,TSV is stale: the dossier was corrected on 2026-07-18 from 66 to 68 GP (with MPG 28 to 26) as part of a team-minute reallocation. 68 is defensible against a 76/20/56 three-season base where the 20-gam
Immanuel Quickley,63,"Projection matched his 2025-26 healthy-season total (70) and sat above his three-season mean +8 (68/33/70, mean 57) while two flags remain open: right-foot plantar fasciitis that was chronic before fo"
Mark Williams,48,"55 exceeded his three-season mean +8 (19/44/60, mean 41, threshold 49) despite a chronic left-foot pattern: the third-metatarsal stress reaction re-aggravated on his April 2 return and again after the"
Brandon Miller,50,"Source TSV is stale: the dossier was already corrected from 62 to 50 on 2026-07-18 for the May 6, 2026 left-shoulder-stabilization surgery (out indefinitely, no camp timeline, chronic shoulder played "
Trey Murphy III,62,"68 exceeded his three-season base of 57/53/66 (mean 58.7, mean+8 = 66.7) with a recurrent same-joint flag: the right shoulder surgically repaired in March 2025 (torn labrum + partial rotator cuff) fla"
Day'Ron Sharpe,60,"68 was a career high by six games (base 61/50/62, mean 57.7, mean+8 = 65.7) against three consecutive seasons ended or interrupted by soft-tissue/structural injuries, ending with season-ending left-th"
Damian Lillard,52,"58 exceeded the three-season base of 73/58/0 (mean 43.7, mean+8 = 51.7) with the availability flag still open: age 36, zero NBA games since the 2025-04-27 Achilles rupture, July 2026 reporting shows a"
Tyler Herro,55,"Over-projection. Last three seasons ran 42/77/33 (mean 50.7; mean+8 = 58.7, which 60 exceeded) and the dossier's own durability section documents a chronic same-side ankle/foot pattern across three se"
Ty Jerome,45,"The gp_targets.tsv value of 58 is stale. The dossier and injury ledger were already corrected on 2026-07-18 to a 45-game base: a high-grade preseason calf strain delayed his 2025-26 debut to Jan 31, h"
Joel Embiid,40,"Three straight seasons at 39/19/38 (recent mean 32, mean+8 = 40) with a formalized no-back-to-backs policy and a multi-mechanism structural injury record; 44 sat above every season since 2022-23 on th"
Stephen Curry,58,"Under-projection for a fully cleared player: July 2026 reporting expects no limitations and no surgery — the patellofemoral episode was overuse with no structural damage, and he is running a deliberat"
Alex Sarr,57,"Active injury flag: in rehabilitation from June 15, 2026 right-foot fracture surgery with only an 'expected full recovery before the season' and no clearance, his third lower-body problem in twelve mo"
Zach Edey,48,"Two operations on the same left ankle inside ten months (June 2025 stabilization, then March 3, 2026 surgery for bone stress) with no formal clearance and no summer game action, against a 66/11 two-se"
Ajay Mitchell,55,"Active flag: still rehabilitating the June WCF right-soleus strain in July ('close to being back to 100... I still got a lot of work to do'), his fourth separate lower-body/core absence in two seasons"
Tari Eason,58,"Chronic pattern: 22/57/60 over the last three seasons (mean 46.3, mean+8 = 54.3) and he has not reached 66 games since his 82-game rookie year. No active injury found and the 2023-24 tibia stress reac"
